Gruppe;Typ;Inventarnummer;Fabriknummer;Geraetenummer;LF-Scan;Bemerkung;
Lungenautomat;PSS LDV M45;0164-016474;06865257;BSSN-2143;;Geraet 2;
Pressluftatmer;PSS AirBoss Active;0164-016756;;BRSM-2376;;Geraet 4;
Pressluftatmer;PSS AirBoss Active;0164-016798;;BRSM-2533;;Geraet 6;
Pressluftatmer;PSS AirBoss Active;0164-016808;;BRSM-2383;;Geraet 2;
Pressluftatmer;PSS AirBoss Active;0164-016809;;BRSM-2373;;Geraet 9;
Verbindungsschlauch;RPS 3500;0164-016537;;;;;
Verbindungsschlauch;RPS 3500;0164-016558;;;;;
Atem-Druckluftflasche;6/300;0164-016347;;ARSL-0164;01160f7c0e;Rohflaschen-Nr.: 1D8560;
Atem-Druckluftflasche;6/300;0164-016349;;ARSL-0160;01160f3afe;Rohflaschen-Nr.: 1D8586;
Atemschutz-Vollmaske;FPS7000;0164-016888;09853121;;;Maske M / Innenmaske 2;
Atemschutz-Vollmaske;FPS7000;0164-016899;09853204;;;Maske L / Innenmaske 3;
Lungenautomat;PSS LDV M45;0164-016440;06865256;BSSN-2406;;Geraet 1;
Pressluftatmer;PSS AirBoss Active;0164-016758;;BRSM-2400;;Geraet 1;
Verbindungsschlauch;RPS 3500;0164-016548;;;;;
Atem-Druckluftflasche;DUMMY;0164-999999;;;;Dummy-Flasche für Atemschutz-Belastungsstrecke;
